;Factor1;Factor2;Factor3;Factor4
identity items_6_2;0.8247228124572703;0.04299634740056884;-0.018723159067443616;0.018941060446393595
identity items_8_2;0.8238903733410201;0.010319786937930796;0.11882542919896713;-0.10693323935650284
identity items_10_2;0.8223906268606253;0.058456324679017686;-0.06851375367902052;0.0924677495189405
identity items_11_2;0.9100893585404685;0.04856757427810789;-0.08297300829713997;0.006430282014677971
identity items_13;0.7572571873132578;-0.10011602452640185;0.2071883999556382;0.052004924839097195
immedi. env._6;0.09223606456164224;0.02994609390113886;0.7523188331024299;0.050355216975222425
immedi. env._7;-0.052192784265931866;0.16815378762573946;0.8462860004524134;-0.026853606150383534
immedi. env._8;0.08500314079028848;-0.050537587985845865;0.7980225731359799;0.1280397499308147
social int._4;-0.0016310822706719402;0.0412350789764972;0.04733961790582698;0.8154144347591685
social int._5;0.002517255105358865;0.003417771699852994;-0.0035169097463452425;0.9557599929779083
social int._10;0.10878637609371386;0.8042534417753316;-0.030678392515377486;0.05145805321412656
social int._13;-0.013383337857872372;0.9677387494983222;0.007689060539750604;0.0102460216416875
q115_2;0.0019232932847384606;0.6907079258276496;0.20543783789626668;0.030872955849536875
