StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Information Sheet,ID,Video Check,Identity items_1,Identity items_2,Identity items_3,Identity items_4,Identity items_5,Identity items_6,Identity items_7,Identity items_8,Identity items_9,Identity items_10,Identity items_11,Identity items_12,Identity Items_1,Identity Items_2,Identity Items_3,Identity Items_4,Identity Items_5,Identity Items_6,Identity Items_7,Identity Items_8,Identity Items_9,Identity Items_10,Identity Items_11,Identity Items_12,Identity Items_13,Immedi. Env._1,Immedi. Env._2,Immedi. Env._3,Immedi. Env._4,Immedi. Env._5,Immedi. Env._6,Immedi. Env._7,Immedi. Env._8,Immedi. Env._9,Immedi. Env._10,Prev. exp._1,Prev. exp._2,Prev. exp._3,Prev. exp._4,Prev. exp._5,Prev. exp._6,Prev. exp._7,Social Int._1,Social Int._2,Social Int._3,Social Int._4,Social Int._5,Social Int._6,Social Int._7,Social Int._8,Social Int._9,Social Int._10,Social Int._11,Social Int._12,Social Int._13,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115_8,Q115_9,Q115_10,Q115_11,Q115_12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent

Please, read the information below to learn more about how the study will be carried out, data collection, your rights, and study approval.


You are being invited to participate in a research study aimed at evaluating and refining a set of questions designed to measure how technology fosters perceived personal safety. We seek to understand the underlying factors influencing passengers' perceptions of safety. Eventually, we aim to create a scale that can measure how technology fosters perceived personal safety in public transport. 


The study will be conducted using an online questionnaire. You will be presented with a short video about a personal safety application and you will be asked to answer questions about the video.


Participation in this study is entirely voluntary. We can only collect your data for our study if you consent to this. If you decide to participate, you may withdraw anytime, including during the study. However, if you decide to withdraw, we will not be required to undo the processing of your data that has taken place up until that time. The personal data we have obtained from you up until the time when you withdraw your consent will be erased (where personal data is any data that can be linked to you, so this excludes any already anonymized data). Your aggregated anonymized data will be used in future publications and other scholarly means of disseminating the findings from the research project, including data repositories to make it accessible to researchers. Any publications based on this research, and the data repository will not include your name or any other individual information by which you could be identified. In accordance with the Utrecht University policy, anonymized research data are to be retained for a minimum of ten years. 


This study has been allowed to proceed by the Research Institute of Information and Computing Sciences on the basis of an Ethics and Privacy Quick Scan. If you have a complaint about the way this study is carried out, please send an email to: ics-ethics@uu.nl. If you have any complaints or questions about the processing of personal data, please send an email to the Faculty of Sciences Privacy Officer: privacy-beta@uu.nl. The Privacy Officer will also be able to assist you in exercising the rights you have under the GDPR. For details of our legal basis for using personal data and the rights you have over your data please see the University’s privacy information at www.uu.nl/en/organisation/privacy.



This study is conducted by Eleni Mouzaki as part of my master's thesis in Human Computer Interaction under the supervision of J.F.M. Masthoff and M.T.R. Vredenborg. If you have any questions or concerns about this research, please contact Eleni Mouzaki at e.mouzaki@students.uu.nl

By agreeing to participate, you declare that you are at least 18 years old and you acknowledge that you have read this consent form, had the opportunity to ask questions, and your questions have been satisfactorily answered.",Please add your Prolific ID:,"According to the video, are there any costs associated with the application?",Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more confident while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less scared while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less vulnerable while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less of a target while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less fear while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more comfortable while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less anxious while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less powerless,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel at ease,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more comfortable in unfamiliar places,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less insecure in new settings,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less fear after missing the last bus/metro/tram/train etc.,Please indicate how much you agree or disagree with the following statements - Using this technology reassures me after missing the last bus/metro/tram/train etc.,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less nervous about dealing with my potential limitations while traveling,"Please indicate how much you agree or disagree with the following statements - Using this technology helps me balance my perception of risk of violence, without feeling overwhelmed by concerns while traveling","Please indicate how much you agree or disagree with the following statements - Using this technology helps me balance my perception of risk of gender-based violence, without feeling overwhelmed by concerns while traveling",Please indicate how much you agree or disagree with the following statements - Using this technology helps me reduce my fear of standing out while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me ease my concerns about standing out due to my appearance or presentation in areas with different religious or cultural norms,Please indicate how much you agree or disagree with the following statements - Using this technology helps me express my individuality with confidence and less fear of (physical) confrontation while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me reduce my discomfort in diverse social settings where my ethnic or racial identity might be more noticeable while traveling,"Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more empowered, countering my concerns about appearing vulnerable while traveling",Please indicate how much you agree or disagree with the following statements - Using this technolgy helps me reduce my fear of hate crime when I express my individuality while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less worried about prejudice based on how I express myself,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less scared when traveling in areas where I am considered a minority,Please indicate how much you agree or disagree with the following statements - Using this technology helps me maintain my confidence even in areas where my ethnicity is not well-represented,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more prepared when transitioning from public transportation to walking,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more prepared during transitions between different modes of public transportation,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less concerned about being alone at a station,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less afraid while traveling during peak hours after dark on public transport,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel  less concerned traveling at night,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more confident while maintaining an appropriate level of caution when walking alone in a dangerous area,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less scared while maintaining an appropriate level of caution when walking alone in a bad neighborhood,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less nervous while staying vigilant when using public transportation or walking in an area with a bad reputation,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more assured in areas where I have concerns about prejudice,Please indicate how much you agree or disagree with the following statements - Using this technology makes me less scared in areas where I have concerns about prejudice,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more comfortable taking a new route,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less fear when I am traveling in an unfamiliar area,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less scared when using a public transport mode which I have not used before,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less worried about walking alone at night,Please indicate how much you agree or disagree with the following statements - I swim across the Atlantic Ocean to get to work every day,Please indicate how much you agree or disagree with the following statements - Using this technology helps me minimize the impact of prior bad experiences on me while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me maintain my perception of personal safety sparing me from unnecessary negative thoughts and feelings,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more comfortable around strange people,Please indicate how much you agree or disagree with the following statements - Using this technology helps me sooth my alertness while maintaining an appropriate level of caution when traveling  with strangers,Please indicate how much you agree or disagree with the following statements - Using this technology helps me sooth my anxiety while maintaining an appropriate level of caution when traveling with intoxicated individuals,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more comfortable when unwanted interactions with strangers occur,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel more confident when unwanted interactions with strangers occur,Please indicate how much you agree or disagree with the following statements - Using this technology helps me maintain a healthy level of alertness when traveling alone,Please indicate how much you agree or disagree with the following statements - Select the 'agree' option,Please indicate how much you agree or disagree with the following statements - Using this technology helps me sooth my anxiety when traveling alone,Please indicate how much you agree or disagree with the following statements - Using this technology makes me feel at ease when traveling alone,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less scared when traveling alone,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less fear when traveling alone,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less scared when walking alone,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less anxious when walking alone,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less anxious when walking home alone,Please indicate how much you agree or disagree with the following statements - Using this technology makes me less anxious when walking through a station alone,Please indicate how much you agree or disagree with the following statements - Using this technology helps me maintain a healthy level of alertness when walking through a station alone,Please indicate how much you agree or disagree with the following statements - Using this technology helps me maintain a healthy level of alertness when walking alone,Please indicate how much you agree or disagree with the following statements - Using this technology makes me feel more safe when traveling when only few people are around,Please indicate how much you agree or disagree with the following statements - Using this technology helps me maintain a healthy level of alertness when only a few people are around while I am traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less afraid when only a few people are around while I am traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me be confident even when I am not part of a group while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology makes me less anxious when my group gets smaller and smaller while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me maintain my confidence when my group gets smaller and smaller while traveling,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less vulnerable when continuing my journey after separating from my friends,Please indicate how much you agree or disagree with the following statements - Using this technology helps me feel less worried about being the last one in public transit
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID124_TEXT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID126_2""}","{""ImportId"":""QID126_3""}","{""ImportId"":""QID126_4""}","{""ImportId"":""QID126_5""}","{""ImportId"":""QID126_11""}","{""ImportId"":""QID126_12""}","{""ImportId"":""QID126_13""}","{""ImportId"":""QID126_14""}","{""ImportId"":""QID126_15""}","{""ImportId"":""QID126_16""}","{""ImportId"":""QID126_17""}","{""ImportId"":""QID116_18""}","{""ImportId"":""QID116_19""}","{""ImportId"":""QID116_20""}","{""ImportId"":""QID116_21""}","{""ImportId"":""QID116_22""}","{""ImportId"":""QID116_23""}","{""ImportId"":""QID116_24""}","{""ImportId"":""QID116_25""}","{""ImportId"":""QID116_26""}","{""ImportId"":""QID116_27""}","{""ImportId"":""QID116_28""}","{""ImportId"":""QID116_29""}","{""ImportId"":""QID116_30""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID117_2""}","{""ImportId"":""QID117_3""}","{""ImportId"":""QID117_4""}","{""ImportId"":""QID117_5""}","{""ImportId"":""QID117_6""}","{""ImportId"":""QID117_7""}","{""ImportId"":""QID117_8""}","{""ImportId"":""QID117_9""}","{""ImportId"":""QID117_10""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID119_2""}","{""ImportId"":""QID119_3""}","{""ImportId"":""QID119_4""}","{""ImportId"":""QID119_8""}","{""ImportId"":""QID119_5""}","{""ImportId"":""QID119_6""}","{""ImportId"":""QID118_6""}","{""ImportId"":""QID118_7""}","{""ImportId"":""QID118_8""}","{""ImportId"":""QID118_9""}","{""ImportId"":""QID118_10""}","{""ImportId"":""QID118_11""}","{""ImportId"":""QID118_40""}","{""ImportId"":""QID118_12""}","{""ImportId"":""QID118_13""}","{""ImportId"":""QID118_14""}","{""ImportId"":""QID118_15""}","{""ImportId"":""QID118_16""}","{""ImportId"":""QID118_17""}","{""ImportId"":""QID128_18""}","{""ImportId"":""QID128_19""}","{""ImportId"":""QID128_20""}","{""ImportId"":""QID128_21""}","{""ImportId"":""QID128_22""}","{""ImportId"":""QID128_23""}","{""ImportId"":""QID128_24""}","{""ImportId"":""QID128_34""}","{""ImportId"":""QID128_35""}","{""ImportId"":""QID128_36""}","{""ImportId"":""QID128_37""}","{""ImportId"":""QID128_38""}"
2024-05-15 07:29:33,2024-05-15 07:35:23,IP Address,*******,100,350,True,2024-05-15 07:35:24,R_42ynJGUIVSA2ZEJ,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5ee1da7a1d622e2092c1b056,Yes,Somewhat agree,Neither agree nor disagree,Disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree
2024-05-15 07:36:46,2024-05-15 07:44:32,IP Address,*******,100,465,True,2024-05-15 07:44:33,R_4Lku7irplcQW3A5,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",65957bc491456f0f4abe4de4,Yes,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2024-05-15 07:43:41,2024-05-15 07:49:05,IP Address,*******,100,323,True,2024-05-15 07:49:06,R_4Y7f8j2Lktgw32p,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",6400f78239b2d28e8caf8db4,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-15 07:42:30,2024-05-15 07:49:32,IP Address,*******,100,422,True,2024-05-15 07:49:33,R_2erd85JUgX18EMI,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",607328d76b81b70a6bdd3350,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2024-05-15 07:41:58,2024-05-15 07:50:33,IP Address,*******,100,514,True,2024-05-15 07:50:33,R_8zPdlKfupgllWQp,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",66446e37616f79e9d2774870,Yes,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2024-05-15 07:45:14,2024-05-15 07:52:43,IP Address,*******,100,449,True,2024-05-15 07:52:44,R_8ESj764OtiQ9Vt3,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5f32397f6eeae117b7b66456,Yes,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-15 07:49:00,2024-05-15 07:53:51,IP Address,*******,100,291,True,2024-05-15 07:53:52,R_8kiTPkpNAZ7n1HW,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5fd000fb59f1540347d18088,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
2024-05-15 07:47:30,2024-05-15 07:54:58,IP Address,*******,100,447,True,2024-05-15 07:54:58,R_8uOPNeL3ST3XCIJ,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5f2ada1948d8b13d5da4dfb2,Yes,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree
